method,completion_step,coverage_rate,rescued,dead,response_step,load_variance,collision_count,comm_cost,marker_reads,seed,n_robots,base_method
SCCS N=3,284,0.8,40,10,15,16.666666666666668,0,0,2159,42,3,SCCS
SCCS N=3,351,0.76,38,12,23,10.888888888888888,0,0,3492,123,3,SCCS
SCCS N=3,263,0.74,37,13,23,2.8888888888888893,0,0,3358,456,3,SCCS
SCCS N=3,348,0.76,38,12,10,8.0,0,0,2985,789,3,SCCS
SCCS N=3,295,0.74,37,13,22,2.8888888888888893,0,0,2339,100,3,SCCS
SCCS N=3,221,0.86,43,7,16,20.22222222222222,0,0,2428,200,3,SCCS
SCCS N=3,302,0.94,47,3,28,4.222222222222222,0,0,3819,300,3,SCCS
SCCS N=3,239,0.86,43,7,21,6.888888888888888,0,0,1878,400,3,SCCS
SCCS N=3,264,0.84,42,8,11,8.0,0,0,2741,500,3,SCCS
SCCS N=3,307,0.9,45,5,1,2.0,0,0,2246,600,3,SCCS
SCCS N=3,307,0.86,43,7,20,6.888888888888889,0,0,3172,11,3,SCCS
SCCS N=3,248,1.0,50,0,25,38.22222222222222,0,0,3514,22,3,SCCS
SCCS N=3,294,0.76,38,12,24,1.5555555555555556,0,0,4555,33,3,SCCS
SCCS N=3,254,0.84,42,8,11,11.555555555555557,0,0,3443,44,3,SCCS
SCCS N=3,264,0.94,47,3,36,1.5555555555555554,0,0,4164,55,3,SCCS
SCCS N=3,283,0.68,34,16,31,1.5555555555555556,0,0,2707,66,3,SCCS
SCCS N=3,306,1.0,50,0,16,6.222222222222222,0,0,2498,77,3,SCCS
SCCS N=3,300,0.86,43,7,28,14.0,0,0,3058,88,3,SCCS
SCCS N=3,288,0.92,46,4,14,6.222222222222221,0,0,2082,99,3,SCCS
SCCS N=3,227,0.92,46,4,27,8.666666666666666,0,0,2653,111,3,SCCS
SCCS N=3,271,0.64,32,18,34,9.555555555555555,0,0,3396,1000,3,SCCS
SCCS N=3,245,0.88,44,6,20,21.555555555555554,0,0,2405,2000,3,SCCS
SCCS N=3,262,0.84,42,8,34,0.8888888888888888,0,0,2492,3000,3,SCCS
SCCS N=3,290,0.88,44,6,1,2.6666666666666665,0,0,2413,4000,3,SCCS
SCCS N=3,247,0.9,45,5,23,2.6666666666666665,0,0,2333,5000,3,SCCS
SCCS N=3,248,0.98,49,1,23,8.222222222222223,0,0,3007,6000,3,SCCS
SCCS N=3,240,0.94,47,3,27,21.555555555555557,0,0,2374,7000,3,SCCS
SCCS N=3,226,0.92,46,4,18,4.666666666666667,0,0,1803,8000,3,SCCS
SCCS N=3,273,0.98,49,1,17,8.222222222222223,0,0,3147,9000,3,SCCS
SCCS N=3,232,0.88,44,6,17,6.888888888888888,0,0,2192,9999,3,SCCS
Greedy N=3,556,0.54,27,23,4,4.222222222222222,0,132,0,42,3,Greedy
Greedy N=3,331,0.76,38,12,4,6.222222222222221,0,78,0,123,3,Greedy
Greedy N=3,298,0.86,43,7,4,48.22222222222222,0,66,0,456,3,Greedy
Greedy N=3,523,0.76,38,12,5,29.555555555555557,0,120,0,789,3,Greedy
Greedy N=3,291,0.76,38,12,2,38.22222222222222,0,66,0,100,3,Greedy
Greedy N=3,256,0.76,38,12,1,62.88888888888889,0,60,0,200,3,Greedy
Greedy N=3,347,0.84,42,8,6,49.555555555555564,0,78,0,300,3,Greedy
Greedy N=3,334,0.74,37,13,24,28.222222222222225,0,78,0,400,3,Greedy
Greedy N=3,398,0.44,22,28,3,28.666666666666668,0,90,0,500,3,Greedy
Greedy N=3,408,0.64,32,18,1,1.5555555555555556,0,96,0,600,3,Greedy
Greedy N=3,417,0.7,35,15,1,29.555555555555554,0,96,0,11,3,Greedy
Greedy N=3,414,0.6,30,20,11,37.55555555555556,0,96,0,22,3,Greedy
Greedy N=3,196,0.86,43,7,3,74.66666666666667,0,42,0,33,3,Greedy
Greedy N=3,146,0.92,46,4,17,11.555555555555555,0,30,0,44,3,Greedy
Greedy N=3,337,0.88,44,6,8,54.22222222222223,0,78,0,55,3,Greedy
Greedy N=3,425,0.78,39,11,7,3.555555555555556,0,102,0,66,3,Greedy
Greedy N=3,372,0.74,37,13,12,11.555555555555555,0,84,0,77,3,Greedy
Greedy N=3,210,0.84,42,8,1,80.22222222222223,0,48,0,88,3,Greedy
Greedy N=3,221,0.82,41,9,10,68.22222222222221,0,48,0,99,3,Greedy
Greedy N=3,227,0.86,43,7,1,10.888888888888888,0,54,0,111,3,Greedy
Greedy N=3,394,0.74,37,13,7,4.666666666666667,0,90,0,1000,3,Greedy
Greedy N=3,426,0.74,37,13,4,84.22222222222221,0,102,0,2000,3,Greedy
Greedy N=3,360,0.74,37,13,10,22.888888888888886,0,84,0,3000,3,Greedy
Greedy N=3,242,0.84,42,8,1,14.888888888888888,0,54,0,4000,3,Greedy
Greedy N=3,442,0.64,32,18,9,107.55555555555554,0,102,0,5000,3,Greedy
Greedy N=3,236,0.86,43,7,4,88.22222222222221,0,54,0,6000,3,Greedy
Greedy N=3,540,0.7,35,15,7,8.0,0,126,0,7000,3,Greedy
Greedy N=3,197,0.86,43,7,1,10.888888888888888,0,42,0,8000,3,Greedy
Greedy N=3,225,0.82,41,9,4,80.66666666666667,0,54,0,9000,3,Greedy
Greedy N=3,280,0.88,44,6,5,82.66666666666667,0,66,0,9999,3,Greedy
SCCS N=5,212,0.84,42,8,22,14.8,0,0,2666,42,5,SCCS
SCCS N=5,236,0.9,45,5,12,10.16,0,0,3727,123,5,SCCS
SCCS N=5,218,0.78,39,11,28,3.7599999999999993,0,0,4337,456,5,SCCS
SCCS N=5,252,0.66,33,17,5,13.36,0,0,3807,789,5,SCCS
SCCS N=5,229,0.76,38,12,22,11.36,0,0,2501,100,5,SCCS
SCCS N=5,166,0.96,48,2,16,7.2,0,0,2916,200,5,SCCS
SCCS N=5,214,1.0,50,0,6,2.8,0,0,4471,300,5,SCCS
SCCS N=5,152,0.94,47,3,8,13.76,0,0,2065,400,5,SCCS
SCCS N=5,180,1.0,50,0,11,6.4,0,0,2931,500,5,SCCS
SCCS N=5,161,1.0,50,0,14,5.2,0,0,2177,600,5,SCCS
SCCS N=5,154,0.98,49,1,7,1.2,0,0,2506,11,5,SCCS
SCCS N=5,208,1.0,50,0,24,6.8,0,0,4116,22,5,SCCS
SCCS N=5,186,0.94,47,3,9,13.2,0,0,4769,33,5,SCCS
SCCS N=5,195,0.86,43,7,10,7.040000000000002,0,0,4000,44,5,SCCS
SCCS N=5,149,1.0,50,0,1,7.6,0,0,3704,55,5,SCCS
SCCS N=5,194,0.92,46,4,5,6.56,0,0,3373,66,5,SCCS
SCCS N=5,185,1.0,50,0,10,8.4,0,0,2944,77,5,SCCS
SCCS N=5,302,0.52,26,24,52,18.160000000000004,1,0,4763,88,5,SCCS
SCCS N=5,159,0.92,46,4,14,9.2,0,0,2033,99,5,SCCS
SCCS N=5,165,0.92,46,4,17,21.6,0,0,3335,111,5,SCCS
SCCS N=5,199,0.82,41,9,26,19.76,0,0,3968,1000,5,SCCS
SCCS N=5,234,0.74,37,13,30,3.84,0,0,3404,2000,5,SCCS
SCCS N=5,194,1.0,50,0,15,9.2,0,0,2759,3000,5,SCCS
SCCS N=5,174,0.98,49,1,1,4.8,0,0,2265,4000,5,SCCS
SCCS N=5,144,1.0,50,0,23,0.4,0,0,2380,5000,5,SCCS
SCCS N=5,194,1.0,50,0,19,14.0,0,0,3844,6000,5,SCCS
SCCS N=5,131,0.96,48,2,11,0.8,0,0,2304,7000,5,SCCS
SCCS N=5,168,1.0,50,0,6,8.0,0,0,2119,8000,5,SCCS
SCCS N=5,219,1.0,50,0,17,14.8,0,0,3181,9000,5,SCCS
SCCS N=5,209,0.94,47,3,12,32.56,0,0,2798,9999,5,SCCS
Greedy N=5,556,0.74,37,13,1,34.64,0,440,0,42,5,Greedy
Greedy N=5,179,0.92,46,4,1,14.64,0,140,0,123,5,Greedy
Greedy N=5,200,0.92,46,4,4,62.239999999999995,0,160,0,456,5,Greedy
Greedy N=5,308,0.88,44,6,1,4.0,0,240,0,789,5,Greedy
Greedy N=5,313,0.78,39,11,2,26.959999999999997,0,240,0,100,5,Greedy
Greedy N=5,211,0.88,44,6,1,38.56,0,160,0,200,5,Greedy
Greedy N=5,171,0.94,47,3,6,39.040000000000006,0,120,0,300,5,Greedy
Greedy N=5,556,0.7,35,15,2,26.96,0,440,0,400,5,Greedy
Greedy N=5,290,0.74,37,13,3,10.24,0,220,0,500,5,Greedy
Greedy N=5,217,0.84,42,8,1,14.959999999999999,0,160,0,600,5,Greedy
Greedy N=5,183,0.88,44,6,1,25.2,0,140,0,11,5,Greedy
Greedy N=5,403,0.62,31,19,4,38.56,0,320,0,22,5,Greedy
Greedy N=5,196,0.94,47,3,1,41.04,0,140,0,33,5,Greedy
Greedy N=5,88,0.96,48,2,9,59.04,0,60,0,44,5,Greedy
Greedy N=5,197,0.96,48,2,4,45.35999999999999,0,140,0,55,5,Greedy
Greedy N=5,425,0.8,40,10,1,29.439999999999998,0,340,0,66,5,Greedy
Greedy N=5,376,0.8,40,10,1,28.560000000000002,0,300,0,77,5,Greedy
Greedy N=5,159,0.94,47,3,1,51.839999999999996,0,120,0,88,5,Greedy
Greedy N=5,283,0.86,43,7,10,27.839999999999996,0,220,0,99,5,Greedy
Greedy N=5,165,0.92,46,4,1,39.84,0,120,0,111,5,Greedy
Greedy N=5,120,0.94,47,3,5,37.36,0,80,0,1000,5,Greedy
Greedy N=5,262,0.84,42,8,4,20.8,0,200,0,2000,5,Greedy
Greedy N=5,342,0.76,38,12,10,11.84,0,260,0,3000,5,Greedy
Greedy N=5,168,0.9,45,5,1,13.84,0,120,0,4000,5,Greedy
Greedy N=5,321,0.84,42,8,3,29.040000000000003,0,240,0,5000,5,Greedy
Greedy N=5,201,0.96,48,2,3,34.16,0,160,0,6000,5,Greedy
Greedy N=5,173,0.88,44,6,7,36.160000000000004,0,120,0,7000,5,Greedy
Greedy N=5,185,0.8,40,10,1,26.159999999999997,0,140,0,8000,5,Greedy
Greedy N=5,201,0.9,45,5,4,18.160000000000004,0,160,0,9000,5,Greedy
Greedy N=5,280,0.9,45,5,1,23.6,0,220,0,9999,5,Greedy
SCCS N=7,162,0.88,44,6,15,6.693877551020408,0,0,2799,42,7,SCCS
SCCS N=7,238,0.88,44,6,12,7.102040816326531,0,0,4889,123,7,SCCS
SCCS N=7,154,0.98,49,1,6,14.693877551020408,0,0,4141,456,7,SCCS
SCCS N=7,188,0.78,39,11,5,6.530612244897958,0,0,4019,789,7,SCCS
SCCS N=7,181,0.84,42,8,22,8.0,0,0,2856,100,7,SCCS
SCCS N=7,228,0.7,35,15,16,14.77551020408163,0,0,3965,200,7,SCCS
SCCS N=7,156,1.0,50,0,6,5.836734693877551,0,0,4465,300,7,SCCS
SCCS N=7,111,1.0,50,0,3,11.83673469387755,0,0,2226,400,7,SCCS
SCCS N=7,135,1.0,50,0,10,9.26530612244898,0,0,2846,500,7,SCCS
SCCS N=7,150,1.0,50,0,14,8.693877551020408,0,0,2171,600,7,SCCS
SCCS N=7,133,0.98,49,1,7,8.693877551020408,0,0,2978,11,7,SCCS
SCCS N=7,223,1.0,50,0,24,8.693877551020407,0,0,4685,22,7,SCCS
SCCS N=7,157,0.96,48,2,14,4.408163265306123,0,0,5706,33,7,SCCS
SCCS N=7,173,0.86,43,7,10,8.489795918367347,0,0,5130,44,7,SCCS
SCCS N=7,145,1.0,50,0,1,18.122448979591837,0,0,3999,55,7,SCCS
SCCS N=7,113,1.0,50,0,5,4.122448979591836,0,0,3138,66,7,SCCS
SCCS N=7,198,1.0,50,0,10,2.979591836734694,0,0,4113,77,7,SCCS
SCCS N=7,234,0.68,34,16,52,3.061224489795918,0,0,4883,88,7,SCCS
SCCS N=7,175,0.88,44,6,6,10.122448979591836,0,0,2660,99,7,SCCS
SCCS N=7,140,0.98,49,1,17,18.693877551020403,0,0,3242,111,7,SCCS
SCCS N=7,217,0.86,43,7,12,8.857142857142858,0,0,4574,1000,7,SCCS
SCCS N=7,212,0.76,38,12,30,3.4285714285714284,0,0,4578,2000,7,SCCS
SCCS N=7,201,0.96,48,2,3,7.2653061224489806,0,0,3478,3000,7,SCCS
SCCS N=7,203,0.96,48,2,6,2.693877551020408,0,0,3196,4000,7,SCCS
SCCS N=7,152,0.94,47,3,23,8.979591836734695,0,0,3167,5000,7,SCCS
SCCS N=7,142,1.0,50,0,19,8.979591836734695,0,0,3597,6000,7,SCCS
SCCS N=7,109,0.98,49,1,11,9.83673469387755,0,0,2866,7000,7,SCCS
SCCS N=7,170,0.92,46,4,6,8.0,0,0,2436,8000,7,SCCS
SCCS N=7,195,1.0,50,0,9,11.551020408163266,0,0,4093,9000,7,SCCS
SCCS N=7,145,0.9,45,5,23,5.714285714285714,0,0,2810,9999,7,SCCS
Greedy N=7,484,0.78,39,11,1,15.26530612244898,0,798,0,42,7,Greedy
Greedy N=7,179,0.94,47,3,1,34.12244897959183,0,294,0,123,7,Greedy
Greedy N=7,259,0.96,48,2,1,53.142857142857146,0,420,0,456,7,Greedy
Greedy N=7,308,0.88,44,6,1,7.1020408163265305,0,504,0,789,7,Greedy
Greedy N=7,204,0.84,42,8,2,19.102040816326532,0,336,0,100,7,Greedy
Greedy N=7,211,0.9,45,5,1,22.530612244897956,0,336,0,200,7,Greedy
Greedy N=7,145,0.94,47,3,2,42.857142857142854,0,210,0,300,7,Greedy
Greedy N=7,147,0.92,46,4,2,26.857142857142858,0,210,0,400,7,Greedy
Greedy N=7,226,0.82,41,9,1,28.285714285714285,0,378,0,500,7,Greedy
Greedy N=7,239,0.82,41,9,1,9.142857142857142,0,378,0,600,7,Greedy
Greedy N=7,301,0.9,45,5,1,46.53061224489795,0,504,0,11,7,Greedy
Greedy N=7,365,0.76,38,12,4,21.959183673469386,0,588,0,22,7,Greedy
Greedy N=7,166,0.96,48,2,1,28.285714285714285,0,252,0,33,7,Greedy
Greedy N=7,114,0.96,48,2,7,53.714285714285715,0,168,0,44,7,Greedy
Greedy N=7,157,0.98,49,1,3,30.571428571428573,0,252,0,55,7,Greedy
Greedy N=7,307,0.88,44,6,1,26.53061224489796,0,504,0,66,7,Greedy
Greedy N=7,168,0.96,48,2,1,6.122448979591836,0,252,0,77,7,Greedy
Greedy N=7,323,0.92,46,4,1,40.53061224489796,0,504,0,88,7,Greedy
Greedy N=7,258,0.92,46,4,1,12.530612244897956,0,420,0,99,7,Greedy
Greedy N=7,177,0.94,47,3,1,17.551020408163264,0,294,0,111,7,Greedy
Greedy N=7,263,0.92,46,4,2,14.122448979591837,0,420,0,1000,7,Greedy
Greedy N=7,182,0.92,46,4,2,23.55102040816326,0,294,0,2000,7,Greedy
Greedy N=7,206,0.88,44,6,1,12.244897959183675,0,336,0,3000,7,Greedy
Greedy N=7,242,0.9,45,5,1,14.204081632653063,0,378,0,4000,7,Greedy
Greedy N=7,229,0.9,45,5,3,32.97959183673469,0,378,0,5000,7,Greedy
Greedy N=7,175,0.96,48,2,3,52.57142857142857,0,294,0,6000,7,Greedy
Greedy N=7,257,0.88,44,6,5,48.816326530612244,0,420,0,7000,7,Greedy
Greedy N=7,436,0.76,38,12,1,14.530612244897958,0,714,0,8000,7,Greedy
Greedy N=7,164,0.98,49,1,1,10.857142857142858,0,252,0,9000,7,Greedy
Greedy N=7,128,0.94,47,3,1,7.9183673469387745,0,210,0,9999,7,Greedy
SCCS N=9,159,0.92,46,4,14,7.135802469135803,0,0,3295,42,9,SCCS
SCCS N=9,218,0.88,44,6,16,5.3580246913580245,0,0,5205,123,9,SCCS
SCCS N=9,164,0.96,48,2,6,3.80246913580247,0,0,5971,456,9,SCCS
SCCS N=9,144,0.88,44,6,5,5.135802469135803,0,0,3839,789,9,SCCS
SCCS N=9,181,0.84,42,8,14,4.222222222222222,0,0,3903,100,9,SCCS
SCCS N=9,215,0.74,37,13,16,12.617283950617281,0,0,4642,200,9,SCCS
SCCS N=9,150,1.0,50,0,6,10.691358024691358,1,0,4776,300,9,SCCS
SCCS N=9,158,0.92,46,4,3,10.69135802469136,0,0,2787,400,9,SCCS
SCCS N=9,151,0.98,49,1,10,14.024691358024691,0,0,3446,500,9,SCCS
SCCS N=9,149,1.0,50,0,14,13.580246913580247,0,0,2686,600,9,SCCS
SCCS N=9,115,0.98,49,1,7,8.024691358024691,0,0,3185,11,9,SCCS
SCCS N=9,174,1.0,50,0,24,6.0246913580246915,0,0,4965,22,9,SCCS
SCCS N=9,120,1.0,50,0,14,6.913580246913579,0,0,5109,33,9,SCCS
SCCS N=9,151,0.92,46,4,10,6.000000000000001,0,0,5149,44,9,SCCS
SCCS N=9,147,1.0,50,0,1,11.580246913580247,0,0,4571,55,9,SCCS
SCCS N=9,106,1.0,50,0,5,8.91358024691358,0,0,3772,66,9,SCCS
SCCS N=9,137,1.0,50,0,1,4.0246913580246915,0,0,3310,77,9,SCCS
SCCS N=9,175,0.82,41,9,7,2.987654320987654,0,0,4647,88,9,SCCS
SCCS N=9,161,0.94,47,3,2,12.913580246913577,0,0,3129,99,9,SCCS
SCCS N=9,157,0.88,44,6,17,6.913580246913579,0,0,3978,111,9,SCCS
SCCS N=9,219,0.9,45,5,12,9.654320987654321,0,0,5251,1000,9,SCCS
SCCS N=9,223,0.76,38,12,16,2.0246913580246915,0,0,5251,2000,9,SCCS
SCCS N=9,135,1.0,50,0,3,9.80246913580247,0,0,2992,3000,9,SCCS
SCCS N=9,219,0.94,47,3,6,6.246913580246914,0,0,3701,4000,9,SCCS
SCCS N=9,146,0.96,48,2,18,11.358024691358024,0,0,3619,5000,9,SCCS
SCCS N=9,152,1.0,50,0,11,9.580246913580247,0,0,3981,6000,9,SCCS
SCCS N=9,142,0.98,49,1,11,16.469135802469136,0,0,3476,7000,9,SCCS
SCCS N=9,207,0.62,31,19,16,6.765432098765432,0,0,2339,8000,9,SCCS
SCCS N=9,172,1.0,50,0,9,4.246913580246914,0,0,3952,9000,9,SCCS
SCCS N=9,182,0.84,42,8,12,7.432098765432098,0,0,3610,9999,9,SCCS
Greedy N=9,179,0.96,48,2,1,13.358024691358025,0,504,0,42,9,Greedy
Greedy N=9,146,0.98,49,1,1,30.246913580246915,0,360,0,123,9,Greedy
Greedy N=9,280,0.96,48,2,1,47.555555555555564,0,792,0,456,9,Greedy
Greedy N=9,207,0.92,46,4,1,13.506172839506172,0,576,0,789,9,Greedy
Greedy N=9,171,0.94,47,3,2,15.135802469135804,0,432,0,100,9,Greedy
Greedy N=9,211,0.9,45,5,1,28.76543209876543,0,576,0,200,9,Greedy
Greedy N=9,350,0.9,45,5,1,42.22222222222222,1,1008,0,300,9,Greedy
Greedy N=9,142,0.9,45,5,2,24.61728395061728,0,360,0,400,9,Greedy
Greedy N=9,285,0.84,42,8,1,10.172839506172838,0,792,0,500,9,Greedy
Greedy N=9,218,0.9,45,5,1,16.543209876543212,0,576,0,600,9,Greedy
Greedy N=9,208,0.92,46,4,1,32.54320987654321,0,576,0,11,9,Greedy
Greedy N=9,194,0.9,45,5,4,34.09876543209876,0,504,0,22,9,Greedy
Greedy N=9,136,0.96,48,2,1,26.24691358024691,0,360,0,33,9,Greedy
Greedy N=9,67,0.98,49,1,5,21.80246913580247,0,144,0,44,9,Greedy
Greedy N=9,327,0.92,46,4,3,29.4320987654321,2,936,0,55,9,Greedy
Greedy N=9,258,0.88,44,6,1,22.395061728395063,0,720,0,66,9,Greedy
Greedy N=9,174,0.92,46,4,1,6.987654320987654,0,432,0,77,9,Greedy
Greedy N=9,150,0.96,48,2,1,37.111111111111114,0,432,0,88,9,Greedy
Greedy N=9,221,0.88,44,6,1,9.432098765432098,0,576,0,99,9,Greedy
Greedy N=9,74,0.96,48,2,1,15.555555555555559,0,144,0,111,9,Greedy
Greedy N=9,92,0.94,47,3,2,29.80246913580247,0,216,0,1000,9,Greedy
Greedy N=9,162,0.94,47,3,2,22.44444444444445,0,432,0,2000,9,Greedy
Greedy N=9,203,0.9,45,5,1,34.44444444444445,0,576,0,3000,9,Greedy
Greedy N=9,103,0.96,48,2,1,16.246913580246915,0,288,0,4000,9,Greedy
Greedy N=9,247,0.88,44,6,1,19.777777777777786,0,648,0,5000,9,Greedy
Greedy N=9,142,0.98,49,1,1,49.13580246913581,0,360,0,6000,9,Greedy
Greedy N=9,85,0.94,47,3,5,19.1358024691358,0,216,0,7000,9,Greedy
Greedy N=9,261,0.78,39,11,1,22.691358024691358,0,720,0,8000,9,Greedy
Greedy N=9,190,0.96,48,2,1,26.22222222222222,1,504,0,9000,9,Greedy
Greedy N=9,216,0.96,48,2,1,6.913580246913581,0,576,0,9999,9,Greedy
